entity,type,source_url,count
04,DATE,https://ai.meta.com/research/,1
2D,ORG,https://ai.meta.com/research/,1
AI,ORG,https://ai.meta.com/research/,1
AI Chemistry,ORG,https://ai.meta.com/research/,1
Coding,ORG,https://ai.meta.com/research/,1
Communication & Language,ORG,https://ai.meta.com/research/,1
Core Learning & Reasoning,ORG,https://ai.meta.com/research/,1
DINOv3 DINOv3,ORG,https://ai.meta.com/research/,1
Embodiment & Actions,ORG,https://ai.meta.com/research/,1
FAIR Team Meta Motivo Movie Gen Seamless Communication,ORG,https://ai.meta.com/research/,1
Meta,ORG,https://ai.meta.com/research/,1
Seamless Interaction Advancing AI,WORK_OF_ART,https://ai.meta.com/research/,1
daily,DATE,https://ai.meta.com/research/,1
the Seamless Interaction Dataset Segment Anything,ORG,https://ai.meta.com/research/,1
